"seed_id","donor_id","collection_rep","type","samplestatus_id","p_user_id","crop_name","family","genus","species","sub_texa","local_name","localvariety_name","material_type","classification","resistant","susceptible","important","p_stored_date"
"30","30","P/S/D/65","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Chema Yangra","Seed","Cereal",,,,"Old Data"
"31","31","P/S/D/66","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Local Nangmai","Seed","Legumes",,,,"Old Data"
"32","32","P/S/D/67","passport","0","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima local","Seed","Cereal",,,,"Old Data"
"33","33","P/Y/K/22","passport","2","1","Mustard","Brassicaceae","Brassica","campestris",,"Memba","Memba Changlo","Seed","Oil",,,,"Old Data"
"34","34","P/Y/K/23","passport","0","1","Potato","Solanaceae","Solanum","tuberosum",,"Pasong","Pasong","tubers","Vegetable",,,,"Old Data"
"35","35","P/Y/B/24","passport","0","1","Colocasia","Araceae","Colocasia","spp.",,"Bozong","Demjong Bozong","Rhizome","Vegetable",,,,"Old Data"
"36","36","P/Y/K/25","passport","0","1","Colocasia","Araceae","Colocasia","spp.",,"Bozong","Bozong Balingbi","Rhizome","Vegetable",,,,"Old Data"
"37","37","P/Y/K/26","passport","0","1","Colocasia","Araceae","Colocasia","spp.",,"Bozong","Bozong Changlo","Rhizome","Vegetable",,,,"Old Data"
"38","38","P/Y/K/27","passport","0","1","Ginger","Zingiberaceae","Zingiber","officinale",,"Saga","Saga","Rhizome","Vegetable",,,,"Old Data"
"39","39","P/Y/K/28","passport","3","1","Maize","Poaceae","Zea","mays",,"Asham","Raba Tsalu Asha","Seed","Cereal",,,,"Old Data"
"40","40","P/Y/W/29","passport","3","1","Maize","Poaceae","Zea","mays",,"Asham","Barma Asham","Seed","Cereal",,,,"Old Data"
"41","41","P/Y/W/30","passport","0","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Sam Bar","Seed","Cereal",,,,"Old Data"
"42","42","P/Y/B/31","passport","0","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Memba Changlu","Seed","Oil",,,,"Old Data"
"43","43","P/Y/N/32","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra Tsalu","Seed","Cereal",,,,"Old Data"
"44","44","P/Y/R/33","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Aring Bar","Seed","Cereal",,,,"Old Data"
"45","45","P/Y/D/34","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Aring Bar","Seed","Cereal",,,,"Old Data"
"46","46","P/Y/D/35","passport","2","1","Soya bean","Fabaceae","Glycine","max",,"Leebi","Lebe","Seed","Oil",,,,"Old Data"
"47","47","P/Y/D/36","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom Barma","Seed","Cereal",,,,"Old Data"
"48","48","P/Y/B/37","passport","0","1","Barley","Poaceae","Hordeum","valgare",,"Femong","Femong","Seed","Cereal",,,,"Old Data"
"49","49","P/Y/B/38","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebe","Lebe","Seed","Oil",,,,"Old Data"
"50","50","P/Y/B/39","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Momshabu","Momshabu","Seed","Oil",,,,"Old Data"
"51","51","P/Y/B/40","passport","0","1","Radish","Brassicaceae","Raphanus","sativus",,"Mulay","Mulay","Seed","Vegetable",,,,"Old Data"
"52","52","P/Y/T/41","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Pang Bar","Seed","Cereal",,,,"Old Data"
"53","53","P/Y/D/42","passport","0","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu","Seed","Oil",,,,"Old Data"
"54","54","P/Y/D/43","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"55","55","P/Y/D/44","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Chema Ashom","Seed","Cereal",,,,"Old Data"
"56","56","P/Y/D/45","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebe","Lebe","Seed","Oil",,,,"Old Data"
"57","57","P/Y/D/46","passport","0","1","Perilla","Lamiaceae","Perilla","frutescens",,"Namjur","Namjur","Seed","Oil",,,,"Old Data"
"58","58","P/Y/D/47","passport","0","1","Lime","Rutaceae","Citrus","spp.",,"Nung","Nung","Fruit",,,,,"Old Data"
"59","59","P/Y/D/48","passport","0","1",,,,,,"Kapur","Kapur","Fruit",,,,,"Old Data"
"60","60","P/Y/T/49","passport","0","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima","Seed","Cereal",,,,"Old Data"
"61","61","P/Y/T/50","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Chema Yangra","Seed","Cereal",,,,"Old Data"
"62","62","P/Y/T/51","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"63","63","P/Y/T/52","passport","0","1","Barley","Poaceae","Hordeum","vulgare",,"Femong","Femong","Seed","Cereal",,,,"Old Data"
"64","64","P/Y/T/53","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima","Seed","Cereal",,,,"Old Data"
"65","65","P/Y/T/54","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra Danesham","Seed","Cereal",,,,"Old Data"
"66","66","P/Y/B/55","passport","2","1","Barley","Poaceae","Hordeum","vulgare",,"Femong","Femong","Seed","Cereal",,,,"Old Data"
"67","67","P/Y/B/56","passport","0","1","Maize","Poaceae","Zea","mays",,"Asham","Asham","Seed","Cereal",,,,"Old Data"
"68","68","P/S/D/68","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray Brokche","Seed","Legumes",,,,"Old Data"
"69","69","P/S/D/69","passport","2","1","Amaranthus","Amaranthaceae","Amaranthus","spp",,"Mo","Mo local","Seed","Cereal",,,,"Old Data"
"70","70","P/S/D/70","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chara","Seed","Cereal",,,,"Old Data"
"71","71","P/S/D/71","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"72","72","P/S/D/72","passport","2","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"73","73","P/S/D/72","passport","0","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","Kongpu","Seed","Cereal",,,,"Old Data"
"74","74","P/S/K/74","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokche Oray","Seed","Legumes",,,,"Old Data"
"75","75","P/S/K/75","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Goibee","Goibee","Seed","Legumes",,,,"Old Data"
"76","76","P/S/K/76","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi Local","Seed","Oil",,,,"Old Data"
"77","77","P/S/K/77","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmai","Nangmai local","Seed","Legumes",,,,"Old Data"
"78","78","P/S/K/78","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi Balingbi","Seed","Oil",,,,"Old Data"
"79","79","P/S/K/79","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokche Oray","Seed","Legumes",,,,"Old Data"
"80","80","P/S/K/80","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom local","Seed","Cereal",,,,"Old Data"
"81","81","P/S/K/81","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Kharshing Oray","Seed","Legumes",,,,"Old Data"
"82","82","P/S/Y/82","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Local","Seed","Cereal",,,,"Old Data"
"83","83","P/S/Y/83","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"84","84","P/S/Y/84","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braimo","Braimo local","Seed","Cereal",,,,"Old Data"
"85","85","P/S/Y/85","passport","0","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Khala","Khala local","Seed","Cereal",,,,"Old Data"
"86","86","P/S/Y/86","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmai","Nangmai","Seed","Legumes",,,,"Old Data"
"87","87","P/S/Y/87","passport","0","1","Rice bean","Fabaceae","Vigna","umbellata",,"Singjee","Singjee","Seed","Legumes",,,,"Old Data"
"88","88","P/S/Y/88","passport","0","1","Amaranthus","Amaranthaceae","Amaranthus","spp",,"Lhasamo","Lhasamo local","Seed","Cereal",,,,"Old Data"
"89","89","P/S/Y/89","passport","2","1","Maize","Poaceae","Zea","mays",,"Asham","Asham","Seed","Cereal",,,,"Old Data"
"90","90","P/S/Y/90","passport","2","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","Kongpu local","Seed","Cereal",,,,"Old Data"
"91","91","P/S/Y/91","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray Brokche","Seed","Legumes",,,,"Old Data"
"92","92","P/S/N/93","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Nangmay","Seed","Legumes",,,,"Old Data"
"93","93","P/S/N/94","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Kharshing Oray","Seed","Legumes",,,,"Old Data"
"94","94","P/S/N/95","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi","Seed","Oil",,,,"Old Data"
"95","95","P/S/N/96","passport","0","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Goibi","Goibi","Seed","Legumes",,,,"Old Data"
"96","96","P/S/N/97","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"97","97","P/S/M/98","passport","2","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu Tsalu","Seed","Oil",,,,"Old Data"
"98","98","P/S/N/99","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"99","99","P/S/M/100","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokche Oray","Seed","Legumes",,,,"Old Data"
"100","100","P/S/M/101","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokche Oray","Seed","Legumes",,,,"Old Data"
"101","101","P/S/M/102","passport","2","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singye","Seed","Legumes",,,,"Old Data"
"102","102","P/S/M/103","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Nangmay","Seed","Legumes",,,,"Old Data"
"103","103","P/S/M/104","passport","2","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Ashom","Cereal",,,,"Old Data"
"104","104","P/S/M/105","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"105","105","P/S/M/106","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"106","106","P/S/M/107","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"107","107","P/S/M/108","passport","0","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Nangmay","Seed","Legumes",,,,"Old Data"
"108","108","P/S/M/109","passport","0","1","Perilla","Lamiaceae","Perilla","frutescens",,"Nam","Naam","Seed","Oil",,,,"Old Data"
"109","109","P/S/M/110","passport","3","1","Maize","Poaceae","Zea","mays",,"Ashom","Rala Ashom","Seed","Cereal",,,,"Old Data"
"110","110","P/S/M/111","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"111","111","P/S/M/112","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokcheling Ora","Seed","Legumes",,,,"Old Data"
"112","112","P/S/M/113","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay","Seed","Legumes",,,,"Old Data"
"113","113","C/P/R/61","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Dhan","Bihari Dhan","Seed","Cereal",,,,"Old Data"
"114","114","P/S/Y/118","passport","0","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu","Seed","Oil",,,,"Old Data"
"115","115","P/S/P/119","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray","Seed","Legumes",,,,"Old Data"
"116","116","P/S/P/120","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"117","117","P/S/P/121","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay","Seed","Legumes",,,,"Old Data"
"118","118","P/S/P/123","passport","2","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"119","119","P/S/P/124","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom","Seed","Cereal",,,,"Old Data"
"120","120","P/S/M/124","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay","Seed","Legumes",,,,"Old Data"
"121","121","P/S/M/125","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"122","122","P/S/M/126","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"123","123","P/S/N/127","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Bar","Seed","Cereal",,,,"Old Data"
"124","124","P/S/Y/114","passport","0","1","Perilla","Lamiaceae","Perilla","frutescens",,"Nam","Naam","Seed","Oil",,,,"Old Data"
"125","125","P/S/Y/115","passport","2","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"126","126","P/S/Y/116","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Shungka Ashom","Seed","Cereal",,,,"Old Data"
"127","127","P/S/Y/117","passport","2","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Khala","Khala","Seed","Cereal",,,,"Old Data"
"128","128","P/Z/R/128","passport","0","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Khala","Khala Changlu","Seed","Cereal",,,,"Old Data"
"129","129","P/Z/R/129","passport","0","1","Barley","Poaceae","Hordeum","valgare",,"Shophu","Shophu","Seed","Cereal",,,,"Old Data"
"130","130","P/Z/R/130","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi balingbin","Seed","Oil",,,,"Old Data"
"131","131","P/Z/R/131","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"132","132","P/Z/R/132","passport","0","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","Kongpu","Seed","Cereal",,,,"Old Data"
"133","133","P/Z/R/133","passport","2","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","Kongpu","Seed","Cereal",,,,"Old Data"
"134","134","P/Z/R/134","passport","0","1","Perilla","Lamiaceae","Perilla","frutescens",,"Nam","Naam","Seed","Oil",,,,"Old Data"
"135","135","P/Z/R/135","passport","0","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Pang Bar","Seed","Cereal",,,,"Old Data"
"136","136","P/Z/R/136","passport","3","1","Maize","Poaceae","Zea","mays",,"Ashom","Gangkhapa Ashom","Seed","Cereal",,,,"Old Data"
"137","137","P/Z/R/137","passport","0","1","Bitter Buckwheat","Polygonaceae","Fagopyrum","tartaricum",,"Khala","Khala Changlu","Seed","Cereal",,,,"Old Data"
"138","138","P/Z/R/138","passport","0","1","Finger Millet","Poaceae","Eleusine","coracana",,"Kongpu","kongpu","Seed","Cereal",,,,"Old Data"
"139","139","P/Z/R/139","passport","2","1","Wheat","Poaceae","Triticum","aestivum",,"Bong","Bong","Seed","Cereal",,,,"Old Data"
"140","140","P/Z/R/140","passport","0","1","Barley","Poaceae","Hordeum","vulgare",,"Femong","Femong","Seed","Cereal",,,,"Old Data"
"141","141","P/Z/R/141","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi","Seed","Oil",,,,"Old Data"
"142","142","P/Z/R/142","passport","3","1","Amaranthus","Amaranthaceae","Amaranthus","spp",,"Mo","Mo Balingbin","Seed","Cereal",,,,"Old Data"
"143","143","P/Z/R/143","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Chema Yangra","Seed","Cereal",,,,"Old Data"
"144","144","P/Z/R/144","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi changlu","Seed","Oil",,,,"Old Data"
"145","145","P/Z/R/145","passport","2","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu serbu","Seed","Oil",,,,"Old Data"
"146","146","P/S/G/146","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"147","147","P/S/G/147","passport","2","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"148","148","P/S/G/148","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay","Seed","Legumes",,,,"Old Data"
"149","149","P/S/G/149","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"150","150","P/S/G/150","passport","0","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Goibee","Goibee","Seed","Legumes",,,,"Old Data"
"151","151","P/S/G/151","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokpaling Oray","Seed","Legumes",,,,"Old Data"
"152","152","p/S/G/152","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Patang Oray","Seed","Legumes",,,,"Old Data"
"153","153","P/S/G/153","passport","0","1","Little Millet","Poaceae","Panicum","miliaceum",,"Chera","Chera","Seed","Cereal",,,,"Old Data"
"154","154","P/S/G/154","passport","2","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Chema Yangra","Seed","Cereal",,,,"Old Data"
"155","155","P/S/G/155","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Rongshong Yangr","Seed","Cereal",,,,"Old Data"
"156","156","P/S/G/156","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay","Seed","Legumes",,,,"Old Data"
"157","157","P/S/G/157","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokpaling Oray","Seed","Legumes",,,,"Old Data"
"158","158","P/S/G/158","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima","Seed","Cereal",,,,"Old Data"
"159","159","P/S/G159","passport","0","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"160","160","P/S/G/160","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokpaling Oray","Seed","Legumes",,,,"Old Data"
"161","161","P/S/G/161","passport","2","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmay","Nangmay","Seed","Legumes",,,,"Old Data"
"162","162","P/S/G/162","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Bremo","Bremo","Seed","Cereal",,,,"Old Data"
"163","163","P/S/G/163","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray Serbu","Seed","Legumes",,,,"Old Data"
"164","164","P/S/G/164","passport","0","1","Foxtail Millet","Poaceae","Setaria","italica",,"Yangra","Yangra","Seed","Cereal",,,,"Old Data"
"165","165","P/S/G/165","passport","3","1","Maize","Poaceae","Zea","mays",,"Ashom","Woolingpa Ashom","Seed","Cereal",,,,"Old Data"
"166","166","P/S/S/166","passport","3","1","Paddy","Poaceae","Oryza","sativa",,"Bar","Aring bara","Seed","Cereal",,,,"Old Data"
"167","167","P/S/S/167","passport","2","1","Maize","Poaceae","Zea","mays",,"Ashom","Ashom Daza","Seed","Cereal",,,,"Old Data"
"168","168","S/G/K/18","passport","2","1","Paddy","Poaceae","Oryza","sativa",,"Bara","Wangdi karmo","Seed","Cereal",,,,"Old Data"
"169","169","S/G/K/19","passport","0","1","Barley","Poaceae","Hordeum","vulgare",,"Shopha","Shopha","Seed","Cereal",,,,"Old Data"
"170","170","S/G/K/20","passport","2","1","Sweet Buckwheat","Polygonaceae","Fagopyrum","esculentum",,"Braima","Braima","Seed","Cereal",,,,"Old Data"
"171","171","S/G/K/21","passport","0","1","Maize","Poaceae","Zea","mays",,"Ashom","Murchupa Ashom","Seed","Cereal",,,,"Old Data"
"172","172","S/G/K/22","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Kengma Oray","Seed","Legumes",,,,"Old Data"
"173","173","S/G/K/23","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Pompaling Oray","Seed","Legumes",,,,"Old Data"
"174","174","S/G/K/24","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Ru oray","Seed","Legumes",,,,"Old Data"
"175","175","S/G/K/25","passport","0","1","Pea","Fabaceae","Pisum","sativum",,"Braychangma","Braychangma","Seed","Legumes",,,,"Old Data"
"176","176","S/G/K/26","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Dungdungma oray","Seed","Legumes",,,,"Old Data"
"177","177","P/S/S/168","passport","0","1","Vigna","Fabaceae","Vigna","unguiculata",,"Singay","Singay Tsalu","Seed","Legumes",,,,"Old Data"
"178","178","P/S/S/169","passport","0","1","Cowpea","Fabaceae","Vigna","unguiculata",,"Nangmey","Nangmey","Seed","Legumes",,,,"Old Data"
"179","179","P/S/S/170","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray Tsalu","Seed","Legumes",,,,"Old Data"
"180","180","P/S/S/171","passport","0","1","Soya bean","Fabaceae","Glycine","max",,"Lebi","Lebi","Seed","Oil",,,,"Old Data"
"181","181","P/S/S/172","passport","2","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Oray serbu","Seed","Legumes",,,,"Old Data"
"182","182","P/S/S/173","passport","0","1","Bean","Fabaceae","Phaseolus","vulgaris",,"Oray","Brokpaling Oray","Seed","Legumes",,,,"Old Data"
"183","183","P/S/S/174","passport","2","1","Mustard","Brassicaceae","Brassica","campestris",,"Membu","Membu","Seed","Oil",,,,"Old Data"
