"cult_id","seed_id","cult_practice","nursery_time","plant_season","harvest_season","crop_system","s_status"
"97","97","Rainfed",,,,,"Landrace"
"98","98","Rainfed",,,,,"Landrace"
"99","99","Rainfed",,,,,"Landrace"
"100","100",,,,,,"Landrace"
"101","101","Rainfed",,,,,"Landrace"
"102","102","Rainfed",,,,,"Landrace"
"103","103","Rainfed",,,,,"Landrace"
"104","104","Rainfed",,,,,"Landrace"
"105","105","Rainfed",,,,,"Landrace"
"106","106","Rainfed",,,,,"Landrace"
"107","107","Rainfed",,,,,"Landrace"
"108","108","Rainfed",,,,,"Landrace"
"109","109","Rainfed",,,,,"Landrace"
"110","110","Rainfed",,,,,"Landrace"
"111","111","Rainfed",,,,,"Landrace"
"112","112","Rainfed",,,,,"Landrace"
"113","113","Irrigated",,,,,"Landrace"
"114","114","Rainfed",,,,,"Landrace"
"115","115","Rainfed",,,,,"Landrace"
"116","116","Rainfed",,,,,"Landrace"
"117","117","Rainfed",,,,,"Landrace"
"118","118","Rainfed",,,,,"Landrace"
"119","119","Rainfed",,,,,"Landrace"
"120","120","Rainfed",,,,,"Landrace"
"121","121","Rainfed",,,,,"Landrace"
"122","122","Rainfed",,,,,"Landrace"
"123","123","Irrigated",,,,,"Landrace"
"124","124","Rainfed",,,,,"Landrace"
"125","125","Rainfed",,,,,"Landrace"
"126","126","Rainfed",,,,,"Landrace"
"127","127","Rainfed",,,,,"Landrace"
"128","128","Rainfed",,,,,"Landrace"
"129","129","Rainfed",,,,,"Landrace"
"130","130","Rainfed",,,,,"Landrace"
"131","131","Rainfed",,,,,"Landrace"
"132","132","Rainfed",,,,,"Landrace"
"133","133","Rainfed",,,,,"Landrace"
"134","134","Rainfed",,,,,"Landrace"
"135","135","Rainfed",,,,,"Landrace"
"136","136","Rainfed",,,,,"Landrace"
"137","137","Rainfed",,,,,"Landrace"
"138","138","Rainfed",,,,,"Landrace"
"139","139","Rainfed",,,,,"Landrace"
"140","140","Rainfed",,,,,"Landrace"
"141","141","Rainfed",,,,,"Landrace"
"142","142","Rainfed",,,,,"Landrace"
"143","143","Rainfed",,,,,"Landrace"
"144","144","Rainfed",,,,,"Landrace"
"145","145","Rainfed",,,,,"Landrace"
"146","146","Rainfed",,,,,"Landrace"
"147","147","Rainfed",,,,,"Landrace"
"148","148","Rainfed",,,,,"Landrace"
"149","149","Rainfed",,,,,"Landrace"
"150","150","Rainfed",,,,,"Landrace"
"151","151","Rainfed",,,,,"Landrace"
"152","152","Rainfed",,,,,"Landrace"
"153","153","Rainfed",,,,,"Landrace"
"154","154","Rainfed",,,,,"Landrace"
"155","155","Rainfed",,,,,"Landrace"
"156","156","Rainfed",,,,,"Landrace"
"157","157","Rainfed",,,,,"Landrace"
"158","158","Rainfed",,,,,"Landrace"
"159","159","Rainfed",,,,,"Landrace"
"160","160","Rainfed",,,,,"Landrace"
"161","161","Rainfed",,,,,"Landrace"
"162","162","Rainfed",,,,,"Landrace"
"163","163","Rainfed",,,,,"Landrace"
"164","164","Rainfed",,,,,"Landrace"
"165","165","Rainfed",,,,,"Landrace"
"166","166","Rainfed",,,,,"Landrace"
"167","167","Rainfed",,,,,"Landrace"
"168","168","Irrigated",,,,,"Landrace"
"169","169","Rainfed",,,,,"Landrace"
"170","170","Rainfed",,,,"Rotation","Landrace"
"171","171","Rainfed","08-05-08","08-05-08","08-05-08","Rotation","Landrace"
"172","172","Rainfed","08-05-08","08-05-08","08-05-08",,"Landrace"
"173","173","Rainfed",,,,,"Landrace"
"174","174","Rainfed",,,,,"Landrace"
"175","175","Rainfed",,,,,"Landrace"
"176","176","Rainfed",,,,,"Landrace"
"177","177","Rainfed",,,,,"Landrace"
"178","178","Rainfed",,,,,"Landrace"
"179","179","Rainfed",,,,,"Landrace"
"180","180","Rainfed",,,,,"Landrace"
"181","181","Rainfed",,,,,"Landrace"
"182","182","Rainfed",,,,,"Landrace"
"183","183","Rainfed",,,,,"Landrace"
"184","184","Rainfed",,,,,"Landrace"
"185","185","Rainfed",,,,,"Landrace"
"186","186","Rainfed",,,,,"Landrace"
"187","187","Rainfed",,,,,"Landrace"
"188","188","Rainfed",,,,,"Landrace"
"189","189","Irrigated",,,,,"Landrace"
"190","190","Rainfed",,,,,"Landrace"
"191","191","Rainfed",,,,,"Landrace"
"192","192","Rainfed",,,,,"Landrace"
"193","193","Rainfed",,,,,"Landrace"
"194","194","Irrigated",,,,,"Landrace"
"195","195",,,,,,"Landrace"
"196","196","Rainfed",,,,,"Landrace"
"197","197","Rainfed",,,,,"Landrace"
"198","198","Rainfed",,,,,"Landrace"
"199","199","Irrigated",,,,,"Landrace"
"200","200","Rainfed",,,,,"Landrace"
"201","201","Irrigated",,,,,"Landrace"
"202","202","Irrigated",,,,,"Landrace"
"203","203","Rainfed",,,,,"Landrace"
"204","204","Rainfed",,,,,"Landrace"
"205","205","Rainfed",,,,,"Landrace"
"206","206","Rainfed",,,,,"Landrace"
"207","207","Rainfed",,,,,"Landrace"
"208","208","Rainfed",,,,,"Landrace"
"209","209","Rainfed",,,,,"Landrace"
"210","210","Rainfed",,,,,"Landrace"
"211","211","Rainfed",,,,,"Landrace"
"212","212","Rainfed",,,,,"Landrace"
"213","213","Rainfed",,,,,"Landrace"
"214","214","Rainfed",,,,,"Landrace"
"215","215","Rainfed",,,,,"Landrace"
"216","216","Rainfed",,,,,"Landrace"
"217","217","Rainfed",,,,,"Landrace"
"218","218","Rainfed",,,,,"Landrace"
"219","219","Rainfed",,,,,"Landrace"
"220","220","Rainfed",,,,,"Landrace"
"221","221","Rainfed",,,,,"Landrace"
"222","222","Rainfed",,,,,"Landrace"
"223","223","Rainfed",,,,,"Landrace"
"224","224","Rainfed",,,,,"Landrace"
"225","225","Rainfed",,,,,"Landrace"
"226","226","Rainfed",,,,,"Landrace"
"227","227","Rainfed",,,,,"Landrace"
"228","228","Rainfed",,,,,"Landrace"
"229","229","Rainfed",,,,,"Landrace"
"230","230","Rainfed",,,,,"Landrace"
"231","231","Irrigated",,,,,"Landrace"
"232","232","Irrigated",,,,,"Landrace"
"233","233","Rainfed",,,,"Rotation","Landrace"
"234","234","Rainfed",,,,"Rotation","Landrace"
"235","235","Rainfed",,,,"Rotation","Landrace"
"236","236","Rainfed",,,,"Rotation","Landrace"
"237","237","Rainfed",,,,"Rotation","Landrace"
"238","238","Rainfed",,,,"Rotation","Landrace"
"239","239","Rainfed",,,,"Rotation","Landrace"
"240","240","Rainfed",,,,"Rotation","Landrace"
"241","241","Rainfed",,,,"Rotation","Landrace"
"242","242","Rainfed",,,,"Rotation","Landrace"
"243","243","Rainfed",,,,"Rotation","Landrace"
"244","244","Rainfed",,,,"Rotation","Landrace"
"245","245","Rainfed",,,,"Rotation","Landrace"
"246","246","Rainfed",,,,"Rotation","Landrace"
"247","247","Rainfed",,,,,"Landrace"
"248","248","Rainfed",,,,"Rotation","Landrace"
"249","249",,,,,,"Landrace"
"250","250","Rainfed",,,,,"Landrace"
"251","251","Rainfed",,,,"Rotation","Landrace"
"252","252","Rainfed",,,,,"Landrace"
"253","253","Rainfed",,,,,"Landrace"
"254","254","Rainfed",,,,,"Landrace"
"255","255","Rainfed",,,,,"Landrace"
"256","256","Rainfed",,,,"Rotation","Landrace"
"257","257","Rainfed",,,,,"Landrace"
"258","258","Rainfed",,,,,"Landrace"
"259","259","Rainfed",,,,,"wild relatives"
"260","260","Rainfed",,,,,"Landrace"
"261","261","Rainfed",,,,,"Landrace"
"262","262","Rainfed",,,,"Rotation","Landrace"
"263","263","Rainfed",,,,"Rotation","Landrace"
"264","264","Rainfed",,,,"Rotation","Landrace"
"265","265","Rainfed",,,,"Rotation","Landrace"
"266","266","Rainfed",,,,,"wild relatives"
"267","267","Rainfed",,,,"Rotation","Landrace"
"268","268","Rainfed",,,,"Rotation","Landrace"
"269","269","Rainfed",,,,"Rotation","Landrace"
"270","270","Rainfed",,,,"Rotation","Landrace"
"271","271","Rainfed",,,,,"Landrace"
"272","272","Rainfed",,,,"Rotation","Landrace"
"273","273","Rainfed",,,,"Rotation","Landrace"
"274","274","Rainfed",,,,"Rotation","Landrace"
"275","275","Rainfed",,,,"Rotation","Landrace"
"276","276","Rainfed",,,,"Rotation","Landrace"
"277","277","Rainfed",,,,"Rotation","Landrace"
"278","278","Rainfed",,,,"Rotation","Landrace"
"279","279","Rainfed",,,,,"Landrace"
"280","280","Irrigated",,,,"Rotation","Landrace"
"281","281","Rainfed",,,,"Rotation","Landrace"
"282","282","Rainfed",,,,"Rotation","Landrace"
"283","283","Rainfed",,,,"Rotation","Landrace"
"284","284","Rainfed",,,,"Rotation","Landrace"
"285","285","Rainfed",,,,"Rotation","Landrace"
"286","286","Rainfed",,,,"Rotation","Landrace"
"287","287","Rainfed",,,,"Rotation","Landrace"
"288","288","Rainfed",,,,"Rotation","Landrace"
"289","289","Rainfed",,,,"Rotation","Landrace"
"290","290","Rainfed",,,,"Rotation","Landrace"
"291","291","Rainfed",,,,"Rotation","Landrace"
"292","292","Rainfed",,,,"Rotation","Landrace"
"293","293","Rainfed",,,,,"Landrace"
"294","294","Rainfed",,,,,"Landrace"
"295","295","Rainfed",,,,,"Landrace"
"296","296","Rainfed",,,,,"Landrace"
"297","297","Rainfed",,,,,"Landrace"
"298","298","Rainfed",,,,,"Landrace"
"299","299","Rainfed",,,,,"Landrace"
"300","300","Rainfed",,,,,"Landrace"
"301","301","Rainfed",,,,,"Landrace"
"302","302","Rainfed",,,,,"Landrace"
"303","303","Rainfed",,,,"Rotation","Landrace"
"304","304","Rainfed",,,,"Rotation","Landrace"
"305","305","Rainfed",,,,"Rotation","Landrace"
"306","306","Rainfed",,,,"Rotation","Landrace"
"307","307","Rainfed",,,,"Rotation","Landrace"
"308","308","Rainfed",,,,"Rotation","Landrace"
"309","309","Rainfed",,,,"Rotation","Landrace"
"310","310","Rainfed",,,,"Rotation","Landrace"
"311","311","Rainfed",,,,"Rotation","Landrace"
"312","312","Rainfed",,,,"Rotation","Landrace"
"313","313","Irrigated",,,,"Rotation","Landrace"
"314","314","Irrigated",,,,"Rotation","Landrace"
"315","315","Irrigated",,,,"Rotation","Landrace"
"316","316","Rainfed",,,,,"Landrace"
"317","317","Rainfed",,,,"Rotation","Landrace"
"318","318","Rainfed",,,,,"Landrace"
"319","319","Rainfed",,,,,"Landrace"
"320","320","Rainfed",,,,,"Landrace"
"321","321","Irrigated",,,,,"Landrace"
"322","322","Irrigated",,,,,"Landrace"
"323","323","Rainfed",,,,,"Landrace"
"324","324","Rainfed",,,,,"Landrace"
"325","325",,,,,,"Landrace"
"326","326","Rainfed",,,,,"Landrace"
"327","327","Irrigated",,,,,"Landrace"
"328","328","Rainfed",,,,,"Landrace"
"329","329","Rainfed",,,,,"Landrace"
"330","330","Rainfed",,,,,"Landrace"
"331","331","Rainfed",,,,,"Landrace"
"332","332","Rainfed",,,,,"Landrace"
"333","333","Rainfed",,,,,"Landrace"
"334","334","Irrigated",,,,,"Landrace"
"335","335","Rainfed",,,,,"Landrace"
"336","336","Rainfed",,,,,"Landrace"
"337","337","Rainfed",,,,,"Landrace"
"338","338","Rainfed",,,,,"Landrace"
"339","339","Rainfed",,,,,"Landrace"
"340","340","Rainfed",,,,,"Landrace"
"341","341","Rainfed",,,,,"Landrace"
"342","342","Rainfed",,,,,"Landrace"
"343","343","Rainfed",,,,,"Landrace"
"344","344","Rainfed",,,,,"Landrace"
"345","345","Rainfed",,,,,"Landrace"
"346","346","Rainfed",,,,,"Landrace"
"347","347","Rainfed",,,,,"Landrace"
"348","348","Rainfed",,,,,"Landrace"
"349","349","Rainfed",,,,,"Landrace"
"350","350","Rainfed",,,,"July","Landrace"
"351","351","Rainfed",,,,,"Landrace"
"352","352","Rainfed",,,,,"Landrace"
"353","353","Rainfed",,,,,"Landrace"
"354","354","Rainfed",,,,,"Landrace"
"355","355","Rainfed",,,,,"Landrace"
"356","356","Rainfed",,,,,"Landrace"
"357","357","Rainfed",,,,,"Landrace"
"358","358","Rainfed",,,,,"Landrace"
"359","359","Rainfed",,,,,"Landrace"
"360","360","Rainfed",,,,,"Landrace"
"361","361","Rainfed",,,,,"Landrace"
"362","362","Irrigated",,,,,"Landrace"
"363","363","Rainfed",,,,,"Landrace"
"364","364","Rainfed",,,,,"Landrace"
"365","365","Rainfed",,,,,"Landrace"
"366","366","Rainfed",,,,,"Landrace"
"367","367","Rainfed",,,,,"Landrace"
"368","368","Irrigated",,,,"November","Landrace"
"369","369","Rainfed",,,,,"Landrace"
"370","370","Rainfed",,,,,"Landrace"
"371","371","Rainfed",,,,,"Landrace"
"372","372","Rainfed",,,,"Rotation","Landrace"
"373","373","Rainfed",,,,"Rotation","Landrace"
"374","374","Irrigated",,,,"Rotation","Landrace"
"375","375","Irrigated",,,,"Rotation","Landrace"
"376","376","Rainfed",,,,"Rotation","Landrace"
"377","377","Rainfed",,,,,"Landrace"
"378","378","Rainfed",,,,"Rotation","Landrace"
"379","379","Rainfed",,,,"Rotation","Landrace"
"380","380","Rainfed",,,,,"Landrace"
"381","381","Rainfed",,,,,"Landrace"
"382","382","Irrigated",,,,,"Landrace"
"383","383","Rainfed",,,,"Intercroping","Landrace"
"384","384","Rainfed",,,,"Rotation","Landrace"
"385","385","Rainfed",,,,"Rotation","Landrace"
"386","386","Rainfed",,,,"Rotation","Landrace"
"387","387","Rainfed",,,,"Rotation","Landrace"
"388","388","Rainfed",,,,,"Landrace"
"389","389","Rainfed",,,,"Rotation","Landrace"
"390","390","Rainfed",,,,"Rotation","Landrace"
"391","391","Rainfed",,,,"Rotation","Landrace"
"392","392","Rainfed",,,,"Rotation","Landrace"
"393","393","Rainfed",,,,"Rotation","Landrace"
"394","394","Rainfed",,,,"Rotation","Landrace"
"395","395","Rainfed",,,,"Rotation","Landrace"
"396","396","Irrigated",,,,,"Landrace"
"397","397","Rainfed",,,,"Rotation","Landrace"
"398","398","Rainfed",,,,,"Landrace"
"399","399","Rainfed",,,,"Rotation","Landrace"
"400","400","Rainfed",,,,"Rotation","Landrace"
"401","401","Rainfed",,,,"Rotation","Landrace"
"402","402","Rainfed",,,,"Rotation","Landrace"
"403","403","Rainfed",,,,,"Landrace"
"404","404","Rainfed",,,,,"Landrace"
"405","405","Rainfed",,,,"Rotation","Landrace"
"406","406","Rainfed",,,,"Rotation","Landrace"
"407","407","Rainfed",,,,"Rotation","Landrace"
"408","408","Irrigated",,,,"Rotation","Landrace"
"409","409","Rainfed",,,,"Rotation","Landrace"
"410","410","Rainfed",,,,"Rotation","Landrace"
"411","411","Rainfed",,,,"Rotation","Landrace"
"412","412","Irrigated",,,,,"Landrace"
"413","413","Rainfed",,,,,"Landrace"
"414","414","Rainfed",,,,"Rotation","Landrace"
"415","415","Rainfed",,,,,"Landrace"
"416","416","Irrigated",,,,,"Landrace"
"417","417","Rainfed",,,,,"Landrace"
"418","418","Irrigated",,,,,"Landrace"
"419","419","Rainfed",,,,,"Landrace"
"420","420","Rainfed",,,,,"Landrace"
"421","421","Rainfed",,,,,"wild relatives"
"422","422","Rainfed",,,,,"wild relatives"
"423","423","Rainfed",,,,,"wild relatives"
"424","424","Rainfed",,,,,"wild relatives"
"425","425","Rainfed",,,,,"wild relatives"
"426","426","Rainfed",,,,,"wild relatives"
"427","427","Rainfed",,,,,"wild relatives"
"428","428","Rainfed",,,,,"Landrace"
"429","429","Rainfed",,,,,"Landrace"
"430","430","Rainfed",,,,,"Landrace"
"431","431","Rainfed",,,,"Sole","Landrace"
"432","432","Rainfed",,,,"Mixed cropping","Landrace"
"433","433","Irrigated",,,,,"Landrace"
"434","434","Irrigated",,,,,"Landrace"
"435","435","Rainfed",,,,"Rotation","Landrace"
"436","436","Rainfed",,,,"Rotation","Landrace"
"437","437","Rainfed",,,,,"Landrace"
"438","438","Rainfed",,,,,"Landrace"
"439","439","Rainfed",,,,,"Landrace"
"440","440","Rainfed",,,,,"Landrace"
"441","441","Rainfed",,,,,"Landrace"
"442","442","Rainfed",,,,,"Landrace"
"443","443","Rainfed",,,,"Mixed cropping","Landrace"
"444","444","Rainfed",,,,"Mixed cropping","Landrace"
"445","445","Rainfed",,,,"Mixed cropping","Landrace"
"446","446","Rainfed",,,,,"Landrace"
"447","447","Rainfed",,,,,"Landrace"
"448","448","Rainfed",,,,,"Landrace"
"449","449","Rainfed",,,,,"Landrace"
"450","450","Rainfed",,,,,"Landrace"
"451","451","Rainfed",,,,,"Landrace"
"452","452","Rainfed",,,,,"Landrace"
"453","453","Rainfed",,,,,"Landrace"
"454","454","Rainfed",,,,,"Landrace"
"455","455","Rainfed",,,,,"Landrace"
"456","456","Rainfed",,,,,"Landrace"
"457","457","Rainfed",,,,"September","Landrace"
"458","458","Rainfed",,,,"Rotation","Landrace"
"459","459","Rainfed",,,,"Rotation","Landrace"
"460","460","Rainfed",,,,"Rotation","Landrace"
"461","461","Rainfed",,,,"Rotation","Landrace"
"462","462","Rainfed",,,,"Rotation","Landrace"
"463","463","Rainfed",,,,"Rotation","Landrace"
"464","464","Rainfed",,,,"Rotation","Landrace"
"465","465","Rainfed",,,,,"Landrace"
"466","466","Irrigated",,,,,"Landrace"
"467","467","Irrigated",,,,,"Landrace"
"468","468","Rainfed",,,,,"Landrace"
"469","469","Rainfed",,,,,"Landrace"
"470","470","Rainfed",,,,,"Landrace"
"471","471","Rainfed",,,,,"Landrace"
"472","472","Rainfed",,,,,"Landrace"
"473","473","Rainfed",,,,"Mixed cropping","Landrace"
"474","474","Rainfed",,,,"Mixed cropping","Landrace"
"475","475","Rainfed",,,,,"Landrace"
"476","476","Rainfed",,,,,"Landrace"
"477","477","Rainfed",,,,,"Landrace"
"478","478","Rainfed",,,,,"Landrace"
"479","479","Rainfed",,,,,"Landrace"
"480","480","Rainfed",,,,,"Landrace"
"481","481","Rainfed",,,,,"Landrace"
"482","482","Rainfed",,,,"Mixed cropping","Landrace"
"483","483","Rainfed",,,,"Mixed cropping","Landrace"
"484","484","Rainfed",,,,,"Landrace"
"485","485","Rainfed",,,,,"Landrace"
"486","486","Rainfed",,,,,"Landrace"
"487","487","Rainfed",,,,,"Landrace"
"488","488","Rainfed",,,,,"Landrace"
"489","489","Rainfed",,,,"Sole","Landrace"
"490","490","Rainfed",,,,"Mixed cropping","Landrace"
"491","491","Rainfed",,,,,"Landrace"
"492","492","Rainfed",,,,"Mixed cropping","Landrace"
"493","493","Rainfed",,,,"Mixed cropping","Landrace"
"494","494","Rainfed",,,,,"Landrace"
"495","495","Rainfed",,,,"Mixed cropping","Landrace"
"496","496","Rainfed",,,,,"Landrace"
"497","497","Rainfed",,,,,"Landrace"
"498","498","Rainfed",,,,,"Landrace"
"499","499","Rainfed",,,,,"Landrace"
"500","500","Rainfed",,,,,"Landrace"
"501","501","Rainfed",,,,"Mixed cropping","Landrace"
"502","502","Rainfed",,,,,"Landrace"
"503","503","Rainfed",,,,,"Landrace"
"504","504","Rainfed",,,,,"Landrace"
"505","505","Rainfed",,,,,"Landrace"
"506","506","Rainfed",,,,"Mixed cropping","Landrace"
"507","507","Rainfed",,,,"Mixed cropping","Landrace"
"508","508","Rainfed",,,,"Mixed cropping","Landrace"
"509","509","Rainfed",,,,,"Landrace"
"510","510","Rainfed",,,,,"Landrace"
"511","511","Rainfed",,,,,"Landrace"
"512","512","Rainfed",,,,,"Landrace"
"513","513","Rainfed",,,,,"Landrace"
"514","514","Rainfed",,,,,"Landrace"
"515","515","Rainfed",,,,,"Landrace"
"516","516","Rainfed",,,,,"Landrace"
"517","517","Rainfed",,,,,"Landrace"
"518","518","Rainfed",,,,,"Landrace"
"519","519","Rainfed",,,,,"Landrace"
"520","520","Rainfed",,,,,"Landrace"
"521","521","Rainfed",,,,,"Landrace"
"522","522","Rainfed",,,,,"Landrace"
"523","523","Rainfed",,,,,"Landrace"
"524","524","Rainfed",,,,,"Landrace"
"525","525","Rainfed",,,,,"Landrace"
"526","526","Rainfed",,,,,"Landrace"
"527","527","Rainfed",,,,,"Landrace"
"528","528","Irrigated",,,,,"Landrace"
"529","529","Irrigated",,,,,"Landrace"
"530","530","Rainfed","03-04-09","03-04-09","03-10-09","Monoculture","Landrace"
"531","531","Rainfed","03-04-09","03-04-09","03-10-09","Monoculture","Landrace"
"532","532","Rainfed",,,,,"Landrace"
"533","533","Rainfed",,,,"Mixed cropping","Landrace"
"534","534","Rainfed",,,,"Mixed cropping","Landrace"
"535","535","Rainfed",,,,,"Landrace"
"536","536","Rainfed",,,,"Mixed cropping","Landrace"
"537","537","Rainfed",,,,,"Landrace"
"538","538","Rainfed",,,,,"Landrace"
"539","539","Rainfed",,,,,"Landrace"
"540","540","Rainfed",,,,"Intercroping","Landrace"
"541","541","Rainfed",,,,"Mixed cropping","Landrace"
"542","542","Rainfed",,,,,"Landrace"
"543","543","Rainfed",,,,,"Landrace"
"544","544","Rainfed",,,,,"Landrace"
"545","545","Rainfed",,,,,"Landrace"
"546","546","Rainfed",,,,,"Landrace"
"547","547","Rainfed",,,,"Mixed cropping","Landrace"
"548","548","Rainfed",,,,,"Landrace"
"549","549","Rainfed",,,,"Mixed cropping","Landrace"
"550","550","Rainfed",,,,,"Landrace"
"551","551","Rainfed",,,,,"Landrace"
"552","552","Rainfed",,,,,"Landrace"
"553","553","Rainfed",,,,,"Landrace"
"554","554","Rainfed",,,,,"Landrace"
"555","555","Rainfed",,,,,"Landrace"
"556","556","Rainfed",,,,,"Landrace"
"557","557","Rainfed",,,,,"Landrace"
"558","558","Rainfed",,,,,"Landrace"
"559","559","Rainfed",,,,,"Landrace"
"560","560","Rainfed",,,,,"Landrace"
"561","561","Irrigated",,,,,"Landrace"
"562","562","Irrigated",,,,,"Landrace"
"563","563","Rainfed",,,,,"Landrace"
"564","564","Rainfed",,,,,"Landrace"
"565","565","Irrigated",,,,,"Landrace"
"566","566","Rainfed",,,,,"Landrace"
"567","567","Rainfed",,,,,"Landrace"
"568","568","Rainfed",,,,"Intercroping","Landrace"
"569","569","Rainfed",,,,,"Landrace"
"570","570","Rainfed",,,,,"Landrace"
"571","571","Rainfed",,,,,"Landrace"
"572","572","Rainfed",,,,,"Landrace"
"573","573","Rainfed",,,,,"Landrace"
"574","574","Rainfed",,,,,"Landrace"
"575","575","Rainfed",,,,,"Landrace"
"576","576","Rainfed",,,,,"Landrace"
"577","577","Rainfed",,,,"Intercroping","Landrace"
"578","578","Rainfed",,,,,"Landrace"
"579","579","Rainfed",,,,,"Landrace"
"580","580","Rainfed",,,,,"Landrace"
"581","581","Rainfed",,,,,"Landrace"
"582","582","Rainfed",,,,,"Landrace"
"583","583","Rainfed",,,,"Intercroping","Landrace"
"584","584","Rainfed",,,,,"Landrace"
"585","585","Rainfed",,,,,"Landrace"
"586","586","Rainfed",,,,,"Landrace"
"587","587","Rainfed",,,,,"Landrace"
"588","588","Rainfed",,,,,"Landrace"
"589","589","Irrigated",,,,,"Landrace"
"590","590","Irrigated",,,,,"Landrace"
"591","591","Rainfed",,,,,"Landrace"
"592","592","Rainfed",,,,,"Landrace"
"593","593","Rainfed",,,,,"Landrace"
"594","594","Rainfed",,,,,"Landrace"
"595","595","Rainfed",,,,,"Landrace"
"596","596","Rainfed",,,,,"Landrace"
"597","597","Rainfed",,,,,"Landrace"
"598","598","Rainfed",,,,,"Landrace"
"599","599","Rainfed",,,,,"Landrace"
"600","600","Rainfed",,,,,"Landrace"
"601","601","Rainfed",,,,,"Landrace"
"602","602","Rainfed",,,,,"Landrace"
"603","603","Rainfed",,,,,"Landrace"
