"id","accession_no","seed_id","type","gb_user_id","gv_weight","gv_packet","mr_weight","mr_packet","r_weight","r_packet","b_location_1","b_location_2","us_weight","us_packet","us_location","d_weight","d_packet","d_location_1","d_location_2","c_weight","c_packet","c_location","packing_date","transfer_date"
"14","BTNC14","374","passport","1","120","2","360","3","291","1","B1R1C2",,"360","2","A1T1C2","80","2","D1T1C1",,"10","2","B1R1C1","27-Apr-05","27-Apr-05"
"15","BTNC15","565","passport","1","180","3","360","3","186","1","B1R1C2",,"320","2","A1T1C2","80","2","D1T1C1",,"10","2","B1R1C1","27-Apr-05","27-Apr-05"
"16","BTNC16","335","passport","1","450","3","450","3","96","1","B1R1C2",,"200","2","A1T1C2","100","2","D1T1C1",,"100","2","B1R1C1","28-Apr-05","28-Apr-05"
"17","BTNC17","673","passport","1","200","2","200","2","112","1","B1R1C3",,"260","1","A1T1C2","100","2","D1T1C1",,"90","2","B1R1C1","28-Apr-05","28-Apr-05"
"18","BTNC18","168","passport","1","120","2","160","2","85","1","B1R1C3",,"240","2","A1T1C2","40","2","D1T1C1",,"40","2","B1R1C1","28-Apr-05","28-Apr-05"
"19","BTNC19","66","passport","1","225","3","100","1","130","1","B1R1C3",,"10","1","A1T1C2","80","2","D1T1C1",,"50","2","B1R1C1","28-Apr-05","28-Apr-05"
"20","BTNC20","638","passport","1","240","2","160","2","195","1","B1R1C3",,"380","2","A1T1C2","80","2","D1T1C1",,"90","3","B1R1C1","25-Apr-05","25-Apr-05"
"21","BTNC21","532","passport","1","360","3","360","3","141","1","B1R1C3",,"200","1","A1T1C2","80","2","D1T1C1",,"29","2","B1R1C1","05-Apr-05","05-Apr-05"
"22","BTNC22","201","passport","1","120","2","120","2","62","1","B1R1C3",,"240","2","A1T1C2","60","2","D1T1C1",,"60","2","B1R1C1","05-Apr-05","05-Apr-05"
"23","BTNC23","1037","passport","1","80","2","80","2","260","1","B1R1C3",,"200","2","A1T1C2","40","2","D1T1C1",,"40","2","B1R1C1","05-Oct-05","05-Oct-05"
"24","BTNC24","852","passport","1","630","3","630","3","178","1","B1R1C3",,"560","2","A1T1C2","140","2","D1T1C1",,"180","3","B1R1C1","05-Oct-05","05-Oct-05"
"25","BTNC25","705","passport","1","232.5","2","240","2","166","1","A1T1C2",,"360","2","A1T1C2","120","2","D1T1C1",,"90","2","B1R1C1","05-Dec-05","05-Dec-05"
"26","BTNC26","1234","passport","1","400","2","400","2","170","1","B1R1C3",,"600","2","A1T1C2","200","2","D1T1C1",,"170","2","B1R1C1","26-May-05","26-May-05"
"27","BTNC27","832","passport","1","320","2","320","2","96","1","B1R1C3",,"480","2","A1T1C2","160","2","D1T1C1",,"60","1","B1R1C2","27-May-05","27-May-05"
"28","BTNC28","1055","passport","1","320","2","320","2","55","1","B1R1C4",,"270","1","A1T1C3","160","2","D1T1C2",,"70","1","B1R1C2","27-May-05","27-May-05"
"29","BTNC29","720","passport","1","320","2","320","2","420","1","B1R1C4",,"610","2","A1T1C3","160","2","D1T1C2",,"235","1","B1R1C2","27-May-05","27-May-05"
"30","BTNC30","1226","passport","1","320","2","320","2","420","1","B1R1C4",,"320","1","A1T1C3","160","2","D1T1C2",,"50","1","B1R1C2","27-May-05","27-May-05"
"31","BTNC31","1219","passport","1","200","2","200","2","234","1","B1R1C4",,"400","2","A1T1C3","100","2","D1T1C2",,"100","1","B1R1C2","27-May-05","27-May-05"
"32","BTNC32","701","passport","1","240","2","240","2","323","1","B1R1C4",,"560","2","A1T1C3","120","2","D1T1C2",,"120","2","B1R1C2","27-May-05","27-May-05"
"33","BTNC33","1255","passport","1","200","2","200","2","50","1","B1R1C4",,"300","2","A1T1C3","100","2","D1T1C2",,"70","2","B1R1C2","27-May-05","27-May-05"
"34","BTNC34","1159","passport","1","280","2","630","3","215","1","B1R1C4",,"560","2","A1T1C3","140","2","D1T1C2",,"110","2","B1R1C2","27-May-05","27-May-05"
"35","BTNC35","893","passport","1","320","2","320","2","147","1","B1R1C4",,"640","2","A1T1C3","160","2","D1T1C2",,"130","2","B1R1C2","27-May-05","27-May-05"
"36","BTNC36","829","passport","1","280","2","280","2","147","1","B1R1C5",,"390","2","A1T2C1","140","2","D1T1C2",,"110","2","B1R1C2","27-May-05","27-May-05"
"37","BTNC37","1128","passport","1","160","1","40","1","40","1","B1R1C5",,"240","2","A1T2C1","80","2","D1T1C2",,"50","1","B1R1C2","27-May-05","27-May-05"
"38","BTNC38","1232","passport","1","280","1","280","1","146","1","B1R1C5",,"560","2","A1T1C1","140","2","D1T1C2",,"110","1","B1R1C2","27-May-05","27-May-05"
"39","BTNC39","706","passport","1","240","1","240","1","60","1","B1R1C5",,"420","2","A1T2C1","120","2","D1T1C2",,"90","1","B1R1C2","28-May-05","28-May-05"
"40","BTNC40","855","passport","1","200","1","200","1","153","1","B1R1C5",,"300","2","A1T2C1","100","2","D1T1C2",,"70","1","B1R1C2","28-May-05","28-May-05"
"41","BTNC41","1256","passport","1","240","1","240","1","148","1","B1R1C5",,"560","2","A1T2C1","120","2","D1T1C2",,"90","1","B1R1C2","28-May-05","28-May-05"
"42","BTNC42","735","passport","1","360","1","360","1","23","1","B1R1C5",,"640","2","A1T2C1","160","2","D1T1C2",,"130","1","B1R1C2","28-May-05","28-May-05"
"43","BTNC43","1211","passport","1","320","1","320","1","137","1","B1R1C5",,"480","2","A1T2C1","120","2","D1T1C2",,"90","1","B1R1C2","28-May-05","28-May-05"
"44","BTNC44","1245","passport","1","280","1","280","1","198","1","B1R1C5",,"560","2","A1T2C1","120","2","D1T1C2",,"90","1","B1R1C2","28-May-05","28-May-05"
"45","BTNC45","1257","passport","1","280","1","280","1","118","1","B1R1C6",,"420","2","A1T2C2","140","2","D1T1C2",,"110","1","B1R1C3","28-May-05","28-May-05"
"46","BTNC46","382","passport","1","200","1","200","1","109","1","B1R1C6",,"300","2","A1T2C2","100","2","D1T1C2",,"70","1","B1R1C3","28-May-05","28-May-05"
"47","BTNC47","853","passport","1","280","1","280","1","171","1","B1R1C6",,"560","2","A1T2C2","140","2","D1T1C2",,"110","1","B1R1C3","28-May-05","28-May-05"
"48","BTNC48","707","passport","1","160","1","320","1","162","1","B1R1C6",,"480","2","A1T2C2","160","2","D1T1C2",,"130","1","B1R1C3","28-May-05","28-May-05"
"49","BTNC49","827","passport","1","280","1","280","1","70","1","B1R1C6",,"350","2","A1T1C3","140","2","D1T1C3",,"110","1","B1R1C3","28-May-05","28-May-05"
"50","BTNC50","1036","passport","1","400","1","400","1","210","1","B1R1C6",,"350","2","A1T2C2","200","2","D1T1C3",,"200","1","B1R1C3","28-May-05","28-May-05"
"51","BTNC51","1054","passport","1","320","1","320","1","210","1","B1R1C6",,"640","2","A1T2C2","160","2","D1T1C3",,"160","1","B1R1C3","06-Jan-05","06-Jan-05"
"52","BTNC52","1151","passport","1","320","1","320","1","110","1","B1R1C6",,"640","2","A1T2C2","160","2","D1T1C3",,"160","1","B1R1C3","06-Jan-05","06-Jan-05"
"53","BTNC53","1251","passport","1","320","1","320","1","68","1","B1R1C7",,"374","2","A1T2C3","160","2","D1T1C3",,"160","1","B1R1C3","06-Jan-05","06-Jan-05"
"54","BTNC54","1183","passport","1","160","1","160","1","40","1","B1R1C7",,"160","2","A1T2C3","80","2","D1T1C3",,"80","1","B1R1C3","06-Jan-05","06-Jan-05"
"55","BTNC55","1094","passport","1","160","1","160","1","52","1","B1R1C7",,"240","2","AT2C3","160","2","D1T1C3",,"160","1","B1R1C3","06-Jan-05","06-Jan-05"
"56","BTNC56","89","passport","1","160","1","160","1","31","1","B1R1C7",,"320","2","A1T2C3","80","2","D1T1C3",,"80","1","B1R1C3","06-Jan-05","06-Jan-05"
"57","BTNC57","1242","passport","1","160","1","160","1","285","1","B1R1C7",,"480","2","A1T2C3","120","2","D1T1C3",,"120","1","B1R1C3","06-Jan-05","06-Jan-05"
"58","BTNC58","1207","passport","1","240","1","240","1","41","1","B1R1C7",,"480","2","A1T2C3","120","2","D1T1C3",,"90","1","B1R1C3","06-Jan-05","06-Jan-05"
"59","BTNC59","736","passport","1","280","1","280","1","77","1","B1R1C7",,"420","2","A1T2C3","140","2","D1T1C3",,"110","1","B1R1C3","06-Mar-05","06-Mar-05"
"60","BTNC60","766","passport","1","280","1","280","1","140","1","B1R1C7",,"420","2","A1T2C3","180","2","D1T1C3",,"150","1","B1R1C3","06-Mar-05","06-Mar-05"
"61","BTNC61","761","passport","1","360","1","360","1","249","1","B1R1C7",,"720","2","A1T2C3","720","2","D1T1C3",,"150","1","B1R1C3","06-Mar-05","06-Mar-05"
"62","BTNC62","754","passport","1","300","1","300","1","145","1","B1R1C8",,"600","2","A1T2C3","150","2","D1T1C3",,"90","1","B1R1C3","06-Mar-05","06-Mar-05"
"63","BTNC63","1179","passport","1","440","1","440","1","279","1","B1R1C8",,"740","2","A1T3C1","220","2","D1T1C3",,"220","1","B1R1C4","06-Mar-05","06-Mar-05"
"64","BTNL64","428","passport","1","200","1","200","1","42","1","B1R1C8",,"280","2","A1T3C1","100","2","D1T1C3",,"100","1","B1R1C4","06-Mar-05","06-Mar-05"
"65","BTNC65","460","passport","1","200","1","200","1","100","1","B1R1C8",,"200","2","A1T3C1","100","2","D1T1C3",,"100","1","B1R1C4","06-Jun-05","06-Jun-05"
"66","BTNC66","14","passport","1","320","1","320","1","97","1","B1R1C8",,"640","2","A1T3C1","160","2","D1T1C3",,"150","1","B1R1C4","06-Jun-05","06-Jun-05"
"67","BTNO67","846","passport","1","30","1","30","1","97","1","B1R1C8",,"60","2","A1T3C1","60","2","D1T1C3",,"30","1","B1R1C4","06-Jun-05","06-Jun-05"
"68","BTNC68","363","passport","1","45","1","45","1","85","1","B1R1C8",,"280","2","A1T3C1","90","1","D1T1C3",,"75","1","B1R1C4","06-Jun-05","06-Jun-05"
"69","BTNO69","595","passport","1","30","1","30","1","15","1","B1R1C8",,"30","2","A1T3C1","30","2","D1T2C1",,"15","1","B1R1C4","06-Jun-05","06-Jun-05"
"70","BTNC70","149","passport","1","50","1","50","1","45","1","B1R1C8",,"160","2","A1T3C1","60","2","D1T2C1",,"20","1","B1R1C4","06-Jun-05","06-Jun-05"
"71","BTNC71","726","passport","1","180","1","180","1","350","1","B1R1C8",,"610","2","A1T3C1","180","2","D1T2C1",,"155","1","B1R1C4","06-Jul-05","06-Jul-05"
"72","BTNC72","202","passport","1","30","1","30","1","59","1","B1R2C1",,"60","2","A1T3C1","60","2","D1T2C1",,"0","1","B1R1C4","06-Jul-05","06-Jul-05"
"73","BTNC73","1844","passport","1","60","1","60","1","199","1","B1R2C1",,"300","1","A1T3C1","120","2","D1T2C1",,"50","1","B1R1C4","06-Jul-05","06-Jul-05"
"74","BTNC74","27","passport","1","60","1","60","1","199","1","B1R2C1",,"400","1","A1T3C2","120","2","D1T2C1",,"60","1","B1R1C4","06-Jul-06","06-Jul-06"
"75","BTNC75","321","passport","1","80","1","70","1","199","1","B1R2C1",,"400","1","A1T3C2","120","2","D1T2C1",,"30","1","B1R1C4","06-Jul-05","06-Jul-05"
"76","BTNO76","685","passport","1","80","1","70","1","44","1","B1R2C1",,"280","1","A1T3C2","120","2","D1T2C1",,"60","1","B1R1C4","06-Jul-05","06-Jul-05"
"77","BTNC77","703","passport","1","72.5","1","80","1","262","1","B1R2C1",,"470","1","A1T3C2","120","2","D1T2C1",,"40","1","B1R1C4","06-Jul-05","06-Jul-05"
"78","BTNC78","299","passport","1","80","1","80","1","236","1","B1R2C1",,"580","1","A1T3C2","180","2","D1T2C1",,"60","1","B1R1C4","06-Aug-05","06-Aug-05"
"79","BTNC79","835","passport","1","90","1","90","1","241","1","B1R2C1",,"640","1","A1T5C3","180","2","D1T2C1",,"60","1","B1R1C4","06-Aug-05","06-Aug-05"
"80","BTNC80","39","passport","1","70","1","50","1","146","1","B1R2C2",,"240","2","A1T3C2","180","2","D1T2C1",,"90","1","B1R1C4","06-Aug-05","06-Aug-05"
"81","BTNC81","258","passport","1","40","1","40","1","60","1","B1R2C1",,"286","2","A1T3C2","80","2","D1T2C1",,"80","1","B1R1C4","06-Aug-05","06-Aug-05"
"82","BTNC82","142","passport","1","50","1","50","1","35","1","B1R2C1",,"490","2","A1T3C2","80","2","D1T2C1",,"10","1","B1R1C4","06-Aug-05","06-Aug-05"
"83","BTNC83","121","passport","1","70","1","60","1","578","1","B1R2C2",,"640","2","A1T3C2","80","2","D1T2C1",,"40","1","B1R1C4","06-Aug-05","06-Aug-05"
"84","BTNC84","19","passport","1","50","1","50","1","52","1","B1R2C2",,"480","2","A1T3C2","100","2","D1T2C1",,"45","1","B1R1C4","06-Aug-05","06-Aug-05"
"85","BTNO85","386","passport","1","50","1","50","1","35","1","B1R2C2",,"560","2","A1T3C3","100","2","D1T2C1",,"50","1","B1R1C4","06-Aug-05","06-Aug-05"
"86","BTNO86","345","passport","1","30","1","30","1","43","1","B1R2C2",,"500","2","A1T3C3","60","2","D1T2C1",,"30","1","B1R1C4","06-Aug-05","06-Aug-05"
"87","BTNO87","302","passport","1","20","1","15","1","33","1","B1R2C2",,"80","2","A1T3C3","30","2","D1T2C1",,"15","1","B1R1C4","06-Aug-05","06-Aug-05"
"88","BTNO88","145","passport","1","50","1","50","1","76","1","B1R2C2",,"240","2","A1T3C3","60","2","D1T2C1",,"30","1","B1R1C4","06-Aug-05","06-Aug-05"
"89","BTNO89","366","passport","1","40","1","40","1","86","1","B1R2C2",,"240","2","A1T3C3","60","2","D1T2C1",,"30","1","B1R1C5","28-Jun-08","28-Jun-08"
"90","BTNO90","97","passport","1","60","1","60","1","100","1","B1R2C2",,"400","2","A1T3C3","80","2","D1T2C1",,"40","1","B1R1C5","06-Aug-05","06-Aug-05"
"91","BTNC91","897","passport","1","90","1","80","1","341","1","B1R2C2",,"360","2","A1T3C3","160","2","D1T2C1",,"80","1","B1R1C5","06-Oct-05","06-Oct-05"
"92","BTNC92","1042","passport","1","80","1","80","1","330","1","B1R2C2",,"450","2","A1T3C3","160","2","D1T2C1",,"80","1","B1R1C5","06-Oct-06","06-Oct-06"
"93","BTNC93","956","passport","1","90","1","90","1","350","1","B1R2C3",,"819","2","A1T3C3","180","2","D1T2C1",,"60","1","B1R1C5","06-Oct-05","06-Oct-05"
"94","BTNC94","989","passport","1","70","1","70","1","172","1","B1R2C3",,"540","2","A1T3C3","140","2","D1T2C1",,"60","1","B1R1C5","06-Oct-05","06-Oct-05"
"95","BTNC95","894","passport","1","90","1","90","1","205","1","B1R2C3",,"616","2","A1T3C3","180","2","D1T2C1",,"90","1","B1R1C5","06-Oct-08","06-Oct-08"
"96","BTNC96","724","passport","1","30","1","30","1","68","1","B1R2C3",,"35","2","A1T4C1","60","2","D1T2C2",,"20","1","B1R1C5","06-Oct-05","06-Oct-05"
"97","BTNL97","304","passport","1","30","1","30","1","52","1","B1R2C3",,"240","2","A1T4C1","30","2","D1T2C2",,"30","1","B1R1C5","06-Oct-05","06-Oct-05"
"98","BTNL98","367","passport","1","30","1","20","1","58","1","B1R2C3",,"440","2","A1T4C1","40","2","D1T2C2",,"20","1","B1R1C5","06-Oct-05","06-Oct-05"
"99","BTNC99","69","passport","1","20","1","20","1","90","1","B1R2C3",,"160","2","A1T4C1","40","2","D1T2C2",,"20","1","B1R1C5","06-Oct-08","06-Oct-08"
"100","BTNC100","851","passport","1","40","1","90","1","238","1","B1R2C3",,"360","2","A1T4C1","180","2","D1T2C2",,"-28","1","90","06-Oct-05","06-Oct-05"
"101","BTNC101","1258","passport","1","70","1","70","1","75","1","B1R2C3",,"320","2","A1T4C1","60","2","D1T2C2",,"40","1","B1R1C5","06-Oct-05","06-Oct-05"
"102","BTNC102","748","passport","1","180","1","180","1","200","1","B1R2C3",,"630","2","A1T4C1","90","2","D1T2C2",,"60","1","B1R1C5","06-Oct-05","06-Oct-05"
"103","BTNC103","1053","passport","1","90","1","90","1","263","1","B1R2C3",,"400","2","A1T4C1","90","2","D1T2C2",,"60","1","B1R1C5","15-Jun-05","15-Jun-05"
"104","BTNC104","998","passport","1","80","1","80","1","177","1","B1R2C4",,"320","2","A1T4C1","80","2","D1T2C2",,"80","1","B1R1C5","14-Jun-05","14-Jun-05"
"105","BTNC105","1243","passport","1","60","1","60","1","67","1","B1R2C4",,"320","2","A1T4C1","90","2","D1T2C2",,"60","1","B1R1C5","14-Jun-05","14-Jun-05"
"106","BTNC106","728","passport","1","90","1","90","1","298","1","B1R2C4",,"360","2","A1T4C2","90","2","D1T2C2",,"90","1","B1R1C5","14-Jun-05","14-Jun-05"
"107","BTNC107","1099","passport","1","40","1","40","1","80","1","B1R2C4",,"160","2","A1T4C2","40","2","D1T2C2",,"27","1","B1R1C5","14-Jun-05","14-Jun-05"
"108","BTNC108","136","passport","1","40","1","40","1","127","1","B1R2C4",,"249","2","A1T4C2","40","2","D1T2C2",,"30","1","B1R1C5","14-Jun-05","14-Jun-05"
"109","BTNC109","1017","passport","1","40","1","40","1","70","1","B1R2C4",,"305","2","A1T4C2","40","2","D1T2C2",,"35","1","B1R1C5","14-Jun-05","14-Jun-05"
"110","BTNL110","713","passport","1","50","1","50","1","155","1","B1R2C4",,"200","2","A1T4C2","50","2","D1T2C2",,"50","1","B1R1C5","14-Jun-05","14-Jun-05"
"111","BTNC111","1009","passport","1","90","1","90","1","349","1","B1R2C4",,"667","2","A1T4C2","90","2","D1T2C2",,"80","1","B1R1C5","20-Jun-05","20-Jun-05"
"112","BTNC112","1021","passport","1","90","1","90","1","309","1","B1R2C4",,"360","2","A1T4C2","90","2","D1T2C2",,"90","1","B1R1C5","20-Jun-05","20-Jun-05"
"113","BTNC113","915","passport","1","90","1","90","1","69","1",,,"573","2","A1T4C2","90","2","D1T2C2",,"80","1","B1R1C5","20-Jun-05","20-Jun-05"
"114","BTNC114","870","passport","1","80","1","80","1","110","1","B1R2C4",,"581","2","A1T4C3","80","2","D1T2C2",,"80","1","B1R1C5","20-Jun-06","20-Jun-06"
"115","BTNC115","734","passport","1","90","1","90","1","260","1","B1R2C4",,"540","2","A1T4C3","90","2","D1T2C2",,"70","1","B1R1C5","20-Jun-05","20-Jun-05"
"116","BTNC116","1133","passport","1","50","1","50","1","120","1","B1R2C5",,"164","2","A1T4C3","50","2","D1T2C2",,"90","1","B1R1C5","20-Jun-05","20-Jun-05"
"117","BTNC117","1261","passport","1","70","1","70","1","141","1","B1R2C4",,"280","2","A1T4C3","70","2","D1T2C2",,"40","1","B1R1C5","20-Jun-05","20-Jun-05"
"118","BTNC118","1260","passport","1","80","1","80","1","106","1","B1R2C5",,"320","2","A1T4C3","80","2","D1T2C2",,"50","1","B1R1C6","20-Jun-05","20-Jun-05"
"119","BTNC119","828","passport","1","72.5","1","80","1","246","1","B1R2C5",,"320","2","A1T4C3","80","2","D1T2C2",,"50","1","B1R1C6","20-Jun-05","20-Jun-05"
"120","BTNL120","920","passport","1","90","1","90","1","281","1","B1R2C5",,"360","2","A1T4C3","90","2","D1T2C3",,"90","1","B1R1C6","20-Jun-05","20-Jun-05"
"121","BTNC121","1029","passport","1","80","1","80","1","380","1","B1R2C5",,"504","2","A1T4C3","180","2","D1T2C3",,"180","1","B1R1C6","21-Jun-05","21-Jun-05"
"122","BTNC122","1016","passport","1","90","1","90","1","359","1",,,"360","2","A1T5C1","90","2","D1T2C3",,"90","1","B1R1C6","21-Jun-05","21-Jun-05"
"123","BTNC123","1132","passport","1","40","1","40","1","69","1",,,"200","2","A1T5C1","40","1","D1T2C3",,"40","1","B1R1C6","21-Jun-05","21-Jun-05"
"124","BTNC124","1030","passport","1","80","1","80","1","304","1",,,"506","2","A1T5C1","90","2","D1T2C3",,"180","1","B1R1C6","21-Jun-05","21-Jun-05"
"125","BTNL125","173","passport","1","50","1","50","1","191","1","B1R2C6",,"200","2","A1T5C1","180","2","D1T2C3",,"180","1","B1R1C6","21-Jun-05","21-Jun-05"
"126","BTNC126","528","passport","1","80","1","20","1","74","1","B1R2C6",,"80","2","A1T5C1","20","2","D1T2C3",,"-10","1","B1R1C6","21-Jun-05","21-Jun-05"
"127","BTNC127","529","passport","1","30","1","30","1","66","1","B1R2C6",,"120","2","A1T5C1","30","2","D1T2C3",,"0","1","B1R1C6","21-Jun-05","21-Jun-05"
"128","BTNC128","721","passport","1","90","1","90","1","109","1","B1R2C6",,"230","2","A1T5C2","90","2","D1T2C3",,"60","1","B1R1C6","21-Jun-05","21-Jun-05"
"129","BTNC129","919","passport","1","90","1","90","1","326","1","B1R2C6",,"572","2","A1T5C1","90","2","D1T2C3",,"80","1","B1R1C6","23-Jun-05","23-Jun-05"
"130","BTNC130","967","passport","1","50","1","50","1","204","1","B1R2C6",,"220","2","A1T5C1","50","2","D1T2C3",,"40","1","B1R1C6","23-Jun-05","23-Jun-05"
"131","BTNC131","970","passport","1","90","1","90","1","361","1","B1R2C6",,"575","2","A1T5C1","90","2","D1T2C3",,"80","1","B1R1C6","23-Jun-05","23-Jun-05"
"132","BTNC132","1204","passport","1","30","1","30","1","137","1","B1R2C6",,"120","2","A1T5C1","30","2","D1T2C3",,"30","1","B1R1C6","23-Jun-05","23-Jun-05"
"133","BTNC133","977","passport","1","90","1","90","1","265","1","B1R2C6",,"450","2","A1T5C2","90","2","D1T2C3",,"60","1","B1R1C6","23-Jun-05","23-Jun-05"
"134","BTNC134","834","passport","1","82.5","1","90","1","104","1","B1R2C6",,"450","2","A1T5C2","90","2","D1T2C3",,"60","1","B1R1C6","23-Jun-05","23-Jun-05"
"135","BTNC135","1215","passport","1","70","1","70","1","76","1","B1R2C7",,"360","2","A1T5C2","70","2","D1T2C3",,"40","1","B1R1C6","23-Jun-05","23-Jun-05"
"136","BTNC136","162","passport","1","70","1","70","1","199","1","B1R2C7",,"350","2","A1T5C2","70","2","D1T2C3",,"70","1","B1R1C6","23-Jun-05","23-Jun-05"
"137","BTNO137","328","passport","1","20","1","20","1","30","1","B1R2C7",,"80","2","A1T5C2","20","2","D1T2C3",,"20","1","B1R1C6","23-Jun-05","23-Jun-05"
"138","BTNO138","617","passport","1","50","1","30","1","91","1","B1R2C7",,"120","2","B1R2C7","40","2","D1T2C3",,"40","1","B1R1C6","23-Jun-05","23-Jun-05"
"139","BTNO139","289","passport","1","30","1","30","1","63","1","B1R2C7",,"120","2","A1T5C2","30","2","D1T2C3",,"30","1","B1R1C6","23-Jun-05","23-Jun-05"
"140","BTNO140","405","passport","1","15","1","20","1","12","1","B1R2C7",,"80","2","A1T5C2","15","2","D1T2C3",,"15","1","B1R1C6","23-Jun-05","23-Jun-05"
"141","BTNO141","290","passport","1","20","1","20","1","8","1","B1R2C7",,"80","2","A1T5C2","20","2","D1T2C3",,"20","1","B1R1C6","23-Jun-05","23-Jun-05"
"142","BTNO142","618","passport","1","30","1","40","1","35","1","B1R2C7",,"120","2","A1T5C2","40","2","D1T2C3",,"40","1","B1R1C6","23-Jun-05","23-Jun-05"
"143","BTNO143","414","passport","1","30","1","30","1","69","1","B1R2C7",,"120","2","A1T5C2","30","2","D1T3C1",,"30","1","B1R1C6","23-Jun-05","23-Jun-05"
"144","BTNO144","394","passport","1","60","1","60","1","40","1","B1R2C7",,"160","2","A1T5C3","40","2","D1T3C1",,"40","1","B1R1C6","23-Jun-05","23-Jun-05"
"145","BTNC145","1068","passport","1","40","1","40","1","51","1","B1R2C7",,"160","2","A1T5C3","40","2","D1T3C1",,"40","1","B1R1C6","27-Jun-05","27-Jun-05"
"146","BTNC146","1265","passport","1","40","1","40","1","76","1","B1R2C7",,"220","2","A1T5C3","40","2","D1T3C1",,"30","1","B1R1C7","27-Jun-05","27-Jun-05"
"147","BTNC147","1013","passport","1","70","1","70","1","244","1","B1R2C7",,"600","2","A1T5C3","70","2","D1T3C1",,"60","1","B1R1C6","27-Jun-05","27-Jun-05"
"148","BTNC148","1038","passport","1","60","1","60","1","188","1","B1R2C7",,"320","2","A1T5C3","80","2","D1T3C1",,"80","1","B1R1C7","28-Jun-05","28-Jun-05"
"149","BTNL149","885","passport","1","60","1","60","1","188","1","B1R2C8",,"240","2","A1T5C3","60","2","D1T3C1",,"60","1","B1R1C7","28-Jun-05","28-Jun-05"
"150","BTNC150","782","passport","1","90","1","90","1","181","1","B1R2C8",,"360","2","A1T5C3","90","2","D1T3C1",,"60","1","B1R1C7","28-Jun-05","28-Jun-05"
"151","BTNL151","741","passport","1","15","1","15","1","98","1","B1R2C8",,"30","2","A1","15","2","D1T3C1",,"15","1","B1R1C7","28-Jun-05","28-Jun-05"
"152","BTNL152","187","passport","1","50","1","50","1","82","1","B1R2C8",,"200","2","A1T5C3","50","2","D1T3C1",,"50","1","B1R1C7","07-Apr-05","07-Apr-05"
"153","BTNL153","275","passport","1","30","1","30","1","50","1","B1R2C8",,"120","2","A1T5C3","50","2","D1T3C1",,"50","1","B1R1C7","07-Apr-05","07-Apr-05"
"154","BTNL154","994","passport","1","50","1","50","1","140","1","B1R2C8",,"200","2","A1T5C3","50","2","D1T3C1",,"50","1","B1R1C7","07-Apr-05","07-Apr-05"
"155","BTNL155","274","passport","1","40","1","40","1","67","1","B1R2C8",,"200","2","A1T5C3","40","2","D1T3C1",,"40","1","B1R1C7","07-Apr-05","07-Apr-05"
